"排名","代號","名稱","股價日期","成交","市值(億)","產業別","相關產業","漲跌幅","振幅(%)","成交額(百萬)","02/02成交量(張)","02/02成交量週轉率(%)"
"468",="9911","櫻花","02/02","83.2","185","居家生活","其他","0","1.8","17.3","208","0.09"
"469",="2106","建大","02/02","19.35","185","橡膠工業","橡膠","-2.27","2.27","16.1","827","0.09"
"470",="4768","晶呈科技","02/02","388","184","化學工業","櫃化學","-2.88","4.13","256","658","1.39"
"471",="2535","達欣工","02/02","68","184","建材營造業","建材營造","-1.31","2.47","21.9","324","0.12"
"472",="3703","欣陸","02/02","22.35","184","建材營造業","建材營造","-1.11","1.77","22.5","1,004","0.12"
"473",="00965","元大航太防衛科技","02/02","25.12","184","國外成分股ETF","國外成分股ETF","-1.61","2.15","265","10,501","1.44"
"474","00675L","富邦臺灣加權正2","02/02","169.5","184","槓桿及反向型ETF","槓桿及反向型ETF","-3.99","3.4","1,142","6,733","6.22"
"475","00870B","元大15年EM主權債","02/02","28.88","182","債券ETF","債券ETF","+1.12","0.42","0.72","25","0"
"476",="3576","聯合再生","02/02","11.2","182","光電業","光電","0","7.59","348","31,189","1.92"
"477",="3380","明泰","02/02","33.65","182","通信網路業","通信網路–無線網路,通信網路–網路設備","+1.97","4.7","102","3,044","0.56"
"478",="7805","威聯通","02/02","555","182","數位雲端","通信網路–網路設備","+1.28","4.93","50.7","93","0.28"
"479",="3167","大量","02/02","205","181","電機機械","電機機械","-5.31","5.08","665","3,224","3.65"
"480","00849B","中信EM主權債0-5","02/02","37.32","181","債券ETF","債券ETF","+0.73","0.24","8.13","218","0.04"
"481",="3265","台星科","02/02","132.5","181","半導體業","半導體–IC封裝測試,半導體–IC製造","-5.02","5.73","329","2,484","1.82"
"482",="6643","M31","02/02","430","180","半導體業","半導體–IC設計","-8.32","6.61","581","1,317","3.15"
"483",="8436","大江","02/02","152.5","180","生技醫療業","生物科技,食品生產–保健食品,醫藥產業–保健食品","+0.66","2.97","193","1,270","1.08"
"484",="5351","鈺創","02/02","55.1","179","半導體業","半導體–IC設計","-9.97","6.86","852","15,257","4.68"
"485",="1707","葡萄王","02/02","121","179","生技醫療業","生物科技","0","1.65","13.3","110","0.07"
"486",="2727","王品","02/02","212","179","觀光餐旅","觀光","-0.47","1.88","59.8","283","0.34"
"487",="6197","佳必琪","02/02","145.5","178","電子零組件業","電子零組件–連接器","+2.83","5.65","207","1,438","1.18"
"488",="3617","碩天","02/02","188.5","178","其他電子業","其他電子","+3.29","5.21","101","539","0.57"
"489",="6146","耕興","02/02","173.5","177","其他電子業","其他電子","-0.86","1.43","36.9","213","0.21"
"490",="9937","全國","02/02","57.1","176","油電燃氣業","油電燃氣","-0.7","1.39","3.35","59","0.02"
"491",="2233","宇隆","02/02","288.5","174","汽車工業","汽車","-0.35","6.74","2,721","9,371","15.5"
"492",="6683","雍智科技","02/02","633","174","半導體業","半導體–IC製造","+9.9","4.34","1,668","2,661","9.69"
"493",="4961","天鈺","02/02","143","173","半導體業","半導體–IC設計","-2.72","2.72","80","558","0.46"
"494",="6125","廣運","02/02","66.7","173","光電業","光電","-3.75","4.76","189","2,840","1.1"
"495",="5213","亞昕","02/02","23.95","173","建材營造業","建材營造","-2.64","2.64","20.9","867","0.12"
"496",="2476","鉅祥","02/02","81.9","173","電子零組件業","電子零組件","-2.27","2.51","150","1,843","0.87"
"497","2881C","富邦金丙特","02/02","51.8","173","金控業","金控業","-0.38","0.58","18.1","349","0.1"
"498",="5007","三星","02/02","58.4","172","鋼鐵工業","鋼鐵","-2.99","6.64","18.6","318","0.11"
"499",="9930","中聯資源","02/02","69.3","172","綠能環保","水泥–水泥生產,水泥–高爐水泥","-1.14","1.28","12.9","186","0.07"
"500",="1723","中碳","02/02","72.5","172","化學工業","化工","-2.16","2.56","25.6","352","0.15"
"501",="6664","群翊","02/02","282","171","電子零組件業","電子零組件","+1.26","3.59","92.9","334","0.55"
"502",="00935","野村臺灣新科技50","02/02","34.6","171","國內成分股ETF","國內成分股ETF","-1.96","1.67","481","13,941","2.82"
"503",="3016","嘉晶","02/02","59.2","171","半導體業","半導體–IC製造","-7.5","7.34","304","5,153","1.79"
"504",="2316","楠梓電","02/02","93.3","170","電子零組件業","印刷電路板 (PCB)","-4.89","5.81","277","2,944","1.61"
"505",="6903","巨漢","02/02","255.5","170","其他電子業","櫃其他電子","-3.77","5.08","187","730","1.09"
"506",="5607","遠雄港","02/02","45.95","170","航運業","航運–倉儲物流","-0.11","5.22","13.7","299","0.08"
"507",="8478","東哥遊艇","02/02","181","170","運動休閒","航運–造船","-1.9","2.71","26.2","145","0.15"
"508",="6785","昱展新藥","02/02","254","170","生技醫療業","醫藥產業","-5.75","5.38","75.2","292","0.44"
"509",="2905","三商","02/02","15.25","169","貿易百貨業","貿易百貨","+1.67","3","11.8","788","0.07"
"510",="3026","禾伸堂","02/02","102","169","電子零組件業","被動元件","-2.39","3.35","138","1,360","0.82"
"511",="3592","瑞鼎","02/02","223","169","半導體業","半導體–IC設計","-3.67","2.59","135","599","0.79"
"512",="4441","振大環球","02/02","248.5","169","紡織纖維","興紡織","-2.74","4.7","14.6","59","0.09"
"513",="2472","立隆電","02/02","102.5","169","電子零組件業","被動元件","-5.09","4.63","274","2,650","1.61"
"514",="6873","泓德能源","02/02","119","169","綠能環保","創新板","+1.28","5.53","103","892","0.63"
"515",="5478","智冠","02/02","106.5","166","文化創意業","文化創意","+4.41","4.41","96.2","896","0.57"
"516","00711B","復華彭博新興債","02/02","16.37","165","債券ETF","債券ETF","+1.05","0.49","2.35","144","0.01"
"517",="1536","和大","02/02","58.9","164","汽車工業","汽車","-4.69","5.02","154","2,582","0.93"
"518","00719B","元大美債1-3","02/02","31.18","164","債券ETF","債券ETF","+0.94","0.55","108","3,461","0.66"
"519",="3526","凡甲","02/02","249","163","電子零組件業","電子零組件–連接器","0","1.61","49.1","198","0.3"
"520","00635U","期元大S&P黃金","02/02","49.61","163","期貨ETF","期貨ETF","-11.1","3.76","2,505","50,113","15.3"
"521",="2009","第一銅","02/02","45.2","163","鋼鐵工業","鋼鐵","-9.78","5.99","761","16,605","4.62"
"522",="4114","健喬","02/02","31.85","162","生技醫療業","生物科技,醫藥產業","-1.7","1.23","44.3","1,391","0.27"
"523",="2605","新興","02/02","27.75","162","航運業","航運–石油海運,航運–海運,航運–散裝海運","-5.13","9.23","836","29,368","5.02"
"524",="7792","安葆","02/02","348","162","其他電子業","興其他電子","-5.43","11","362","1,060","2.27"
"525",="3693","營邦","02/02","377","162","電腦及週邊設備業","3C周邊產品","-0.26","8.6","1,486","3,830","8.91"
"526",="3357","臺慶科","02/02","146","161","電子零組件業","被動元件","-6.11","5.14","280","1,891","1.71"
"527",="9940","信義","02/02","21.75","160","其他業","其他","-0.91","1.59","8.79","404","0.05"
"528",="2402","毅嘉","02/02","52.1","160","電子零組件業","3C周邊產品,印刷電路板 (PCB)","-2.07","4.51","260","4,995","1.62"
"529",="5425","台半","02/02","60.8","160","半導體業","3C周邊產品–印表機,半導體–IC製造","-4.4","5.03","332","5,420","2.06"
